,Pack Price
2854,5.35
8831,2.15
1509,12.01
2238,26.25
7200,2.1
4750,6.65
4120,80.0
3599,34.3
4228,7.3
6698,1.95
5897,237.45
1907,71.99
2759,7.58
363,80.0
111,38.36
1797,3.0
3734,3.37
5683,2.82
7742,13.69
7845,11.23
8107,6.42
9052,4.25
9850,1.9
3541,5.94
916,16.5
4667,4.5
1165,10.62
5669,32.0
9807,6.73
7323,13.96
8091,22.5
4350,7.71
8181,2.95
4668,72.0
6461,32.0
3290,82.2
8048,11.22
6962,11.23
889,80.0
9287,2.15
7022,3.95
3818,80.0
7065,2.44
935,67.0
2780,4.51
8722,4.04
420,80.0
7280,2.76
5769,80.0
836,27.0
441,76.0
765,32.0
10100,1.95
7670,4.12
7593,19.92
7662,6.08
5461,5.1
4541,1.72
7500,6.11
6327,1.25
979,8.61
8902,5.78
7017,3.6
6124,1.5
9865,11.22
9581,6.76
8295,4.0
8258,12.3
6388,2.43
2467,3.9
8269,7.0
2943,89.0
6534,89.0
2676,7.12
1798,1.92
160,27.0
6711,1.95
6584,5.78
2595,9.45
354,76.0
6271,36.16
6806,3.91
8151,1.95
1784,26.25
6619,3.4
2614,38.36
3407,11.15
208,0.01
3632,80.0
9081,2.44
2255,11.4
8369,9.76
7001,6.73
5287,11.49
8735,12.08
2950,7.82
5611,8.1
6988,10.25
6829,3.64
6685,4.76
7477,11.35
2050,7.12
9179,8.26
7569,15.89
707,32.0
5900,7.33
267,1.9
3225,11.0
4623,29.0
2840,3.0
6563,2.42
3078,4.51
676,9.5
5817,10.5
1263,78.64
5660,5.43
9087,2.33
1984,2.1
3641,13.0
6882,7.3
8998,19.92
9693,20.22
3909,36.0
2175,71.99
1376,12.01
4195,20.0
2147,27.0
5446,60.82
6206,11.25
5523,24.0
946,82.2
8220,23.75
458,7.0
5388,12.49
5543,80.0
8225,4.04
5981,1.3
9126,2.16
3747,29.0
8861,3.12
4716,6.85
3049,8.25
1770,36.0
10259,3.73
9738,12.96
4252,7.82
1390,7.71
6749,12.5
2023,15.0
3870,3.19
2157,9.45
4182,24.0
93,9.5
3502,90.91
6654,16.44
9743,2.0
1505,12.42
5027,12.49
5089,11.15
1534,0.01
5976,3.67
8897,5.78
6547,32.0
5774,72.0
4454,24.5
9527,11.0
9752,11.15
1762,3.9
813,11.48
5930,7.15
3178,3.24
842,32.0
6589,7.53
7832,8.26
10287,9.76
10286,3.73
1901,7.4
2029,15.26
8751,6.25
6077,6.85
1454,41.1
1354,12.01
1806,7.12
1344,7.4
7826,6.73
4817,1.8
7668,8.26
3155,2.25
6836,6.38
2374,9.45
2785,5.5
7153,2.58
8218,2.26
7483,10.0
6908,4.81
9235,20.04
2377,1.4
5883,8.55
1942,13.28
6929,4.64
7619,19.92
6404,32.0
1115,2.0
7488,16.96
1062,38.36
2110,32.0
5560,80.0
1791,8.76
1744,26.25
792,20.0
9151,6.07
5996,31.0
8128,2.51
1186,6.85
1833,11.4
1397,11.0
2274,11.4
2013,12.01
9384,11.75
6441,32.0
8655,8.26
8144,8.26
7761,4.15
95,10.28
2915,0.0
7883,3.89
9202,3.89
7023,5.33
5326,11.19
8296,10.87
6845,1.9
1935,17.0
3350,7.35
7880,18.9
1157,3.4
1529,9.45
2850,95.0
2941,77.7
4298,3.55
1660,1.45
4640,10.5
4283,4.53
737,23.0
4097,32.0
5646,38.36
6888,7.0
6316,11.99
4242,89.0
