,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
9722,30,611,8260.72,55,1335.15,10.22
1705,60,164,2177.92,2095,10098.25,3.48
6815,60,152000,1462240.0,43571,67732.54,2050.06
1803,240,3500,6650.0,1208,4329.01,13.03
1073,30,3360,88200.0,281,1532.41,141.12
6953,30,5000,23200.0,1447,28812.57,23.85
2441,60,10000,93500.0,905,15128.37,183.26
10245,60,2707,30399.61,263,1811.6,37.6
10268,60,228,1504.8,21,973.48,1.55
9792,30,6776,21141.12,514,898.0,21.73
2129,60,1797,17071.5,170,892.0,27.31
9609,60,149997,1471470.57,17605,6323.1,2063.0
5808,100,1505,120400.0,746,13037.01,168.8
4336,60,15030,38927.7,933,3847.96,76.3
8241,60,763,3509.8,56,20666.07,4.34
4122,1,260,5980.0,197,2708.04,9.87
9987,240,10000,18000.0,3637,9499.46,29.7
5350,30,38433,412770.42,4656,31521.65,424.33
771,100,15,1050.0,4,383.65,2.06
7933,60,11584,58962.56,1043,8819.61,60.61
9515,60,250000,2805000.0,32538,20179.39,4628.25
6999,60,7442,19349.2,12408,15645.33,19.89
6228,60,3192,6703.2,157,2010.69,8.29
893,200,800,1072.0,98,1770.43,2.1
5001,30,8215,110820.35,805,1003.18,137.08
9271,30,352500,3799950.0,82137,67855.39,3906.35
1011,25,950,71250.0,760,5213.02,139.65
26,25,10000,200000.0,3335,27869.74,320.0
7124,30,20000,398400.0,2181,20264.93,858.95
3802,30,4779,107527.5,643,4142.07,133.01
6519,30,53234,248602.78,4507,5886.96,535.99
5591,300,23,1398.86,53,926.13,1.44
1197,60,6930,176368.5,687,1854.88,345.68
7173,60,70000,376600.0,5154,12956.94,621.39
7876,30,715,2888.6,44,1171.2,2.97
2461,60,23670,269838.0,2666,7445.8,528.88
6328,120,160,5785.6,47,1238.94,12.47
4327,30,76097,506045.05,7105,6121.41,834.97
5290,30,100000,735000.0,9390,45118.64,1030.47
7315,30,43563,145064.79,4122,28602.94,179.45
7689,30,2340,52650.0,263,2330.21,73.82
1302,30,44135,548156.7,3483,12643.63,877.05
1182,60,30415,346731.0,3415,15128.37,679.59
8263,120,13040,263668.8,2638,13508.98,326.16
2006,60,7876,11971.52,5588,18617.93,23.46
7391,240,2216,4121.76,1412,4609.68,4.24
8050,60,6700,15611.0,426,43548.0,33.66
6578,200,98,1233.82,22,817.99,1.53
24,100,750,53992.5,171,3518.38,86.39
4814,100,2685,214800.0,1284,21821.97,463.11
1837,60,6661,19316.9,778,4702.02,41.65
687,100,25,8750.0,60,1521.11,14.0
32,30,1000,17000.0,76,2282.57,27.2
3655,60,1440,2592.0,99,1497.53,2.66
9020,60,1458,3397.14,79,1078.61,5.61
6590,60,92,709.32,363,1816.73,1.39
8454,60,2600,54574.0,8819,8022.59,106.97
3639,60,270,4050.0,358,5294.24,8.73
1350,240,3200,6720.0,1120,8185.2,13.17
4470,60,33972,85949.16,1823,1791.42,185.31
9656,60,2027,8716.1,218,1941.82,10.78
9654,60,36278,311265.24,4943,14547.55,385.04
2044,30,12740,140140.0,987,2448.71,274.67
7821,30,4837,65396.24,1102,8406.81,80.9
743,120,12560,516216.0,3073,12815.42,1011.78
6043,20,2068,55836.0,685,5557.27,120.38
8059,60,648,10044.0,138,17941.47,21.65
9442,30,3000,19710.0,2252,43548.0,42.49
1080,100,10,720.0,6,2219.44,1.15
3406,720,2884,131510.4,2006,12723.32,184.38
9564,100,5996,479680.0,1363,22171.8,672.51
6669,60,141764,1590592.08,70109,43548.0,3429.32
8066,30,60756,640368.24,5481,12601.07,1056.61
7624,60,6139,68879.58,1518,6561.51,113.65
6389,144,148,5429.5,27,1253.71,11.71
3997,120,27,2361.42,5,41.0,3.9
6920,60,10000,113600.0,3118,4768.06,140.52
5410,60,39201,88202.25,3986,20555.45,90.67
9869,60,4149,11326.77,394,1083.3,24.42
7245,90,1480,12224.8,187,2109.22,17.14
4286,60,6414,14944.62,425,1032.12,20.95
7478,60,1760,12320.0,133,2450.89,24.15
3560,100,20,7000.0,48,1716.47,13.72
3612,60,6000,13500.0,594,1113.01,16.7
640,300,50,2055.0,99,1939.99,4.03
4823,1,1100,26950.0,780,7655.99,37.78
5796,180,153,7650.0,34,395.0,14.99
8028,60,13104,35773.92,1448,6147.18,77.13
1985,60,20989,71362.6,1162,3629.37,139.87
8766,60,16357,185815.52,1635,6007.2,229.85
4988,100,2928,234240.0,1325,13303.36,289.75
7119,30,230,515.2,411,3380.86,1.11
3674,100,9347,831883.0,3090,60185.33,1029.04
1459,90,400,6780.0,3340,3438.84,10.85
6720,60,4700,10951.0,264,15322.73,18.07
4435,100,90,9000.0,41,1182.5,12.62
3736,30,5424,149702.4,606,3790.99,153.89
8441,240,1628,3093.2,622,13122.39,6.67
3262,30,9810,132336.9,962,6773.13,163.7
472,1,7002,161046.0,5057,44360.44,315.65
2391,20,10,320.0,3,400.75,0.51
3321,240,5730,10887.0,2254,12791.34,11.19
6625,60,4400,49368.0,527,4549.95,106.44
1589,60,26550,302670.0,2991,7445.8,593.23
5462,100,154,12320.0,60,1619.3,15.24
4951,100,1470,117600.0,595,7651.46,120.89
7187,60,75507,406227.66,8578,5216.63,670.28
2148,60,447,679.44,1054,2722.38,1.09
1211,240,3535,6716.5,1224,2298.61,14.48
1474,60,40761,435327.48,4221,17549.81,696.52
3465,120,1008,18809.28,406,2562.6,19.34
1317,30,27156,712845.0,9344,35246.5,1140.55
3656,60,26441,59492.25,2520,25593.87,83.41
1452,60,1319,9892.5,1656,8331.36,15.83
7697,30,35000,193900.0,2657,14332.0,271.85
4957,120,13703,460420.8,3476,11729.82,759.69
1679,240,2091,34501.5,9386,33363.16,55.2
6717,60,107325,1204186.5,12669,11291.75,1986.91
5636,20,44,1276.0,15,529.4,1.79
6681,60,100000,1122000.0,14983,78442.21,1851.3
4225,240,20000,185600.0,7293,6560.34,306.24
8302,240,595,5063.45,236,7300.0,5.21
6241,60,75048,557606.64,4023,3315.23,1202.2
6887,90,71,660.3,395,1303.0,0.82
6051,30,20993,97617.45,2100,17568.6,120.75
3384,60,10357,75916.81,523,3161.68,163.68
2854,30,41286,220880.1,4027,28833.91,309.67
8831,60,4000,8600.0,474,1332.7,8.84
1509,30,19740,237077.4,2941,31051.3,379.32
2238,30,27439,720273.75,2561,15128.47,1411.74
7200,240,204,428.4,171,2522.76,0.6
4750,30,124312,826674.8,11603,10748.8,1364.01
4120,100,2938,235040.0,1329,13394.09,290.74
3599,120,7634,261846.2,2386,1398.0,564.54
4228,60,6384,46603.2,331,5766.83,76.9
6698,240,11326,22085.7,4274,24213.81,36.44
5897,120,175,41553.18,31,566.56,68.56
1907,100,1250,89987.5,296,2372.8,143.98
2759,30,800,6064.0,77,979.14,6.23
363,100,5259,420720.0,1584,22775.45,824.61
111,336,400,15344.0,175,7642.97,30.07
1797,60,24,72.0,21,7329.83,0.14
3734,60,39939,134594.43,2038,11789.31,290.19
5683,60,116000,327120.0,7193,8559.24,705.27
